Date,Type of Meal,Dish Name ,Calories,Protein (oz),Fruits (cup),Vegetables (cup),Grains (oz),Dairy (cup),Link
6/24/25,Breakfast,Milk ,149,0,0,0,0,1,
6/24/25,Breakfast,Sweet potato hash with egg,300,2.5,0,1,0,0,https://www.myplate.gov/recipes/sweet-potato-hash-egg
6/24/25,Lunch,chicken fried rice,340,1.5,0,0.25,2,0,https://www.myplate.gov/recipes/fried-rice
6/24/25,Dinner,Fish tacos,220,2,0,0.75,2,0,https://www.myplate.gov/recipes/simple-fish-tacos
6/24/25,Snack,Very berry smoothie,250,0,2.5,0,0,1,https://www.myplate.gov/recipes/very-berry-smoothie
6/25/25,Breakfast,Apple sauce pancakes,238,0.5,0.25,0,2.5,0,https://www.myplate.gov/recipes/applesauce-pancakes
6/25/25,Breakfast,Milk ,149,0,0,0,0,1,
6/25/25,Lunch,Baked chicken nuggets,248,2,0,0,0,0,https://www.myplate.gov/recipes/baked-chicken-nuggets
6/25/25,Lunch,Chili,118,1,0,0.5,1.5,0,https://www.myplate.gov/recipes/3-can-chili
6/25/25,Dinner,Turkey pasta,297,0.5,0.25,0.5,2.5,0,https://www.myplate.gov/recipes/skillet-pasta-dinner
6/25/25,Snack,Strawberries,28,0,0.5,0,0,0,
6/26/25,Breakfast,Vegetable Omelet,180,2,0,0.25,0,0.5,https://www.myplate.gov/recipes/veggie-omelet-mug
6/26/25,Lunch,Citrus salmon fillet,333,3,0.25,0.5,0,0,https://www.myplate.gov/recipes/citrus-salmon-fillets
6/26/25,Snack,Peanut Butter Banana Smoothie,200,0.5,0.75,0,0,0.75,https://www.myplate.gov/recipes/peanut-butter-banana-smoothie
6/26/25,Dinner,Vegetable chicken soup,300,2,0,1.75,0,0,https://www.myplate.gov/recipes/vegetable-soup-chicken
6/26/25,Dessert,Yogurt pops,59,0,0.25,0,0,0.25,https://www.myplate.gov/recipes/yogurt-pops
6/27/25,Breakfast,Strawberry Banana Fruit Smoothie,174,0.28,1.25,0,0,0.75,https://www.myplate.gov/recipes/fruit-smoothie-ii
6/27/25,Lunch,Turkey Tostadas,197,0.85,0,0.5,1,0,https://www.myplate.gov/recipes/turkey-tostadas
6/27/25,Dinner,Tofu with Broccoli,151,0.42,0,1,0,0,https://www.myplate.gov/recipes/tofu-broccoli
6/28/25,Breakfast ,Banana Walnut Oatmeal,293,0.35,0.5,0,0,0.5,https://www.myplate.gov/recipes/banana-walnut-oatmeal
6/28/25,Breakfast ,Orange Juice ,112,0.06,0,0,0,0,
6/28/25,Lunch ,Turkey and Cucumber Sandwich,245,0.74,0,0.25,2,0.25,https://www.myplate.gov/recipes/turkey-and-cucumber-sandwich
6/28/25,Lunch ,Water,0,0,0,0,0,0,
6/28/25,Snack,Yogurt Berry Parfait,304,0.39,0.5,0,0.5,0.5,https://www.myplate.gov/recipes/yogurt-berry-parfait
6/28/25,Dinner,Red Beans and Rice,224,0.42,0,1.25,0.5,0,https://www.myplate.gov/recipes/red-beans-and-rice
6/29/25,Breakfast,Green Smoothie,299,0.46,2,0.25,0,1,https://www.myplate.gov/recipes/simple-green-smoothie
6/29/25,Lunch,BBQ Chicken Pizza,143,0.35,0,0,1,0.25,https://www.myplate.gov/recipes/bbq-chicken-pizza
6/29/25,Dinner,Grilled Lamb Salad,260,0.81,0,1.75,0,0,https://www.myplate.gov/recipes/grilled-lamb-salad
6/29/25,Dinner,Water,0,0,0,0,0,0,
6/30/25,Breakfast,Fruit Salad with Yogurt,171,0.28,1,0,0,0.5,https://www.myplate.gov/recipes/fruit-salad-yogurt
6/30/25,Lunch,Citrus Salmon Fillet with Rice,333,0.78,0.25,0.25,0,0,https://www.myplate.gov/recipes/citrus-salmon-fillets
6/30/25,Snack,Apple Cinnamon Bars,82,0.04,0.25,0,0.5,0,https://www.myplate.gov/recipes/apple-cinnamon-bars
6/30/25,Dinner,Grass Fed Beef Burgers,270,0.71,0,0,0,0,
